Contest No,Problem Category,Problem Name,Tags,Difficulty,Total solve
1798,D,Shocking Arrangement,"['constructive algorithms', 'greedy', 'math']",1600.0,7033.0
1798,C,Candy Store,"['greedy', 'math', 'number theory']",1700.0,6511.0
1798,B,Three Sevens,"['brute force', 'data structures', 'greedy', 'implementation']",1000.0,13644.0
1798,A,Showstopper,"['greedy', 'implementation', 'sortings']",800.0,17606.0
1797,F,Li Hua and Path,"['data structures', 'dfs and similar', 'divide and conquer', 'dsu', 'trees']",3000.0,195.0
1797,E,Li Hua and Array,"['brute force', 'data structures', 'dsu', 'math', 'number theory', 'two pointers']",2300.0,888.0
1797,D,Li Hua and Tree,"['brute force', 'data structures', 'dfs and similar', 'dp', 'implementation', 'trees']",1900.0,2794.0
1797,C,Li Hua and Chess,"['constructive algorithms', 'greedy', 'interactive']",1600.0,5824.0
1797,B,Li Hua and Pattern,"['constructive algorithms', 'greedy']",1100.0,11971.0
1797,A,Li Hua and Maze,"['constructive algorithms', 'flows', 'graphs', 'greedy', 'implementation']",800.0,14734.0
1796,F,Strange Triples,"['brute force', 'math', 'number theory']",2900.0,120.0
1796,E,Colored Subgraphs,"['dfs and similar', 'dp', 'games', 'greedy', 'trees']",2500.0,516.0
1796,D,Maximum Subarray,"['data structures', 'dp', 'greedy', 'two pointers']",2000.0,2940.0
1796,C,Maximum Set,"['binary search', 'math']",1600.0,7680.0
1796,B,Asterisk-Minor Template,"['implementation', 'strings']",1000.0,14059.0
1796,A,Typical Interview Problem,"['brute force', 'implementation', 'strings']",800.0,16998.0
1795,G,Removal Sequences,"['bitmasks', 'dfs and similar', 'graphs']",2700.0,526.0
1795,F,Blocking Chips,"['binary search', 'constructive algorithms', 'dfs and similar', 'greedy', 'trees']",2400.0,860.0
1795,E,Explosions?,"['binary search', 'data structures', 'dp', 'greedy', 'math']",2200.0,1603.0
1795,D,Triangle Coloring,"['combinatorics', 'math']",1600.0,6863.0
1795,C,Tea Tasting,"['binary search', 'data structures', 'implementation']",1500.0,9230.0
1795,B,Ideal Point,"['brute force', 'geometry', 'greedy']",900.0,18516.0
1795,A,Two Towers,"['brute force', 'implementation', 'strings']",800.0,21373.0
1794,E,Labeling the Tree with Distances,"['data structures', 'dp', 'greedy', 'hashing', 'implementation', 'trees']",2400.0,760.0
1794,D,Counting Factorizations,"['combinatorics', 'divide and conquer', 'dp', 'math', 'number theory']",1900.0,2739.0
1794,C,Scoring Subsequences,"['binary search', 'greedy', 'math', 'two pointers']",1300.0,9900.0
1794,B,Not Dividing,"['constructive algorithms', 'greedy', 'math']",900.0,15225.0
1794,A,Prefix and Suffix Array,['strings'],800.0,14811.0
1793,F,Rebrending,"['brute force', 'data structures', 'divide and conquer', 'implementation']",2600.0,1007.0
1793,E,Velepin and Marketing,"['binary search', 'data structures', 'dp', 'greedy', 'sortings', 'two pointers']",2600.0,730.0
1793,D,Moscow Gorillas,"['binary search', 'dp', 'greedy', 'implementation', 'math', 'two pointers']",1800.0,4744.0
1793,C,Dora and Search,"['constructive algorithms', 'data structures', 'two pointers']",1200.0,13771.0
1793,B,Fedya and Array,"['constructive algorithms', 'math']",1100.0,13461.0
1793,A,Yet Another Promotion,"['greedy', 'math']",800.0,16335.0
1792,F2,Graph Coloring (hard version),"['brute force', 'combinatorics', 'divide and conquer', 'dp', 'fft', 'graphs']",2900.0,300.0
1792,F1,Graph Coloring (easy version),"['combinatorics', 'dp', 'graphs']",2700.0,517.0
1792,E,Divisors and Table,"['brute force', 'dfs and similar', 'dp', 'number theory']",2400.0,1064.0
1792,D,Fixed Prefix Permutations,"['binary search', 'bitmasks', 'data structures', 'hashing', 'math', 'sortings']",1700.0,4950.0
1792,C,Min Max Sort,"['binary search', 'brute force', 'greedy', 'math', 'two pointers']",1500.0,10401.0
1792,B,Stand-up Comedian,"['greedy', 'math']",1200.0,16731.0
1792,A,GamingForces,"['greedy', 'sortings']",800.0,24440.0
1791,G2,Teleporters (Hard Version),"['binary search', 'greedy', 'sortings']",1900.0,3472.0
1791,G1,Teleporters (Easy Version),"['greedy', 'sortings']",1100.0,16638.0
1791,F,Range Update Point Query,"['binary search', 'brute force', 'data structures']",1500.0,8869.0
1791,E,Negatives and Positives,"['dp', 'greedy', 'sortings']",1100.0,20231.0
1791,D,Distinct Split,"['brute force', 'greedy', 'strings']",1000.0,21171.0
1791,C,Prepend and Append,"['implementation', 'two pointers']",800.0,32152.0
1791,B,Following Directions,"['geometry', 'implementation']",800.0,34488.0
1791,A,Codeforces Checking,"['implementation', 'strings']",800.0,40736.0
1790,G,Tokens on Graph,"['constructive algorithms', 'dfs and similar', 'graphs', 'shortest paths']",2300.0,857.0
1790,F,Timofey and Black-White Tree,"['brute force', 'dfs and similar', 'divide and conquer', 'graphs', 'greedy', 'math', 'shortest paths', 'trees']",2100.0,2538.0
1790,E,Vlad and a Pair of Numbers,"['bitmasks', 'constructive algorithms']",1400.0,11337.0
1790,D,Matryoshkas,"['data structures', 'greedy', 'sortings']",1200.0,14364.0
1790,C,Premutation,"['brute force', 'implementation', 'math']",1000.0,19632.0
1790,B,Taisia and Dice,"['greedy', 'greedy', 'math']",800.0,23978.0
1790,A,Polycarp and the Day of Pi,"['implementation', 'math', 'strings']",800.0,30826.0
1789,F,Serval and Brain Power,"['bitmasks', 'brute force', 'dp', 'greedy', 'implementation', 'strings']",2700.0,362.0
1789,E,Serval and Music Game,"['brute force', 'dp', 'implementation', 'math', 'number theory']",2500.0,636.0
1789,D,Serval and Shift-Shift-Shift,"['bitmasks', 'brute force', 'constructive algorithms', 'implementation']",2200.0,1326.0
1789,C,Serval and Toxel's Arrays,"['combinatorics', 'dp', 'implementation', 'math']",1500.0,6606.0
